FINALS RESULTS
Position: 17

Games:        11910

2p Games:     3622   (an extra 247 games against DQ'd players ignored)
Wins:         2490
Losses:       1132

Rushes:       1455
Wins:         1279   (87.9%)
Losses:       176

Non-Rushes:   2167
Wins:         1211   (55.9%)
Losses:       956

--------------------------------------------------
Rush Results Only (2p games, < 10 ships produced):

9663040  O    ipost
9662637  O    ebretl
9662421  O    ebretl
9661682  O    RyanDraves
9661584  O    alexander-mol
9661425  O    succcubbus
9661421  O    succcubbus
9661235  O    kindanoob
9661032    X  AzureFractal
9660990    X  RyanDraves
9659998  O    alexander-mol
9659559    X  AzureFractal
9658887  O    alexander-mol
9658540    X  alexander-mol
9658481  O    kindanoob
9658237  O    succcubbus
9658051  O    kindanoob
9657962  O    alexander-mol
9657006  O    AzureFractal
9656996  O    ipost
9656989    X  AzureFractal
9656792  O    ipost
9656602  O    kindanoob
9656558  O    kindanoob
9655905  O    RyanDraves
9655721  O    ebretl
9655563    X  shummie
9654413    X  succcubbus
9654306  O    Prisoner3D
9653906  O    kindanoob
9653733  O    succcubbus
9653603  O    RyanDraves
9653347  O    alexander-mol
9653053  O    ipost
9652861  O    alexander-mol
9652853  O    alexander-mol
9652362  O    ipost
9651948  O    kindanoob
9651298  O    reCurs3
9651232  O    ipost
9651111  O    klyd3r
9651076    X  ipost
9650749  O    huizew
9650704  O    ipost
9650105  O    kindanoob
9649893    X  SiestaGuru
9649511  O    alexander-mol
9648596  O    alexander-mol
9648319  O    reCurs3
9648187  O    klyd3r
9647871  O    alexander-mol
9646818  O    kindanoob
9646128  O    klyd3r
9645973  O    AzureFractal
9645163  O    succcubbus
9645088  O    alexander-mol
9644114  O    ipost
9643745  O    succcubbus
9643532  O    huizew
9643340  O    klyd3r
9642708    X  spelljack
9642707    X  RyanDraves
9642210  O    klyd3r
9642154  O    dhallstr
9642144  O    dhallstr
9641486    X  SiestaGuru
9641444  O    klyd3r
9640843  O    kindanoob
9640700    X  RyanDraves
9640610  O    ipost
9640322  O    RyanDraves
9640299  O    RyanDraves
9640295  O    klyd3r
9640262  O    klyd3r
9640186  O    kindanoob
9639894  O    zxqfl
9639821  O    kindanoob
9639489  O    AzureFractal
9639459  O    kindanoob
9638960  O    RyanDraves
9638755  O    RyanDraves
9638545  O    ewirkerman
9638079  O    AzureFractal
9637574  O    succcubbus
9637428  O    alexander-mol
9637406  O    ebretl
9637234  O    RyanDraves
9637192  O    alexander-mol
9637032  O    AzureFractal
9636956  O    RyanDraves
9636950  O    klyd3r
9636555  O    kindanoob
9636512  O    huizew
9636460  O    kindanoob
9636322  O    alexander-mol
9636241  O    ipost
9636107  O    AzureFractal
9635347    X  ipost
9635140  O    cdurbin
9635125  O    alexander-mol
9635070  O    alexander-mol
9634147    X  RyanDraves
9634146  O    alexander-mol
9633911    X  AzureFractal
9633303  O    alexander-mol
9632333  O    kindanoob
9632303  O    kindanoob
9631456    X  kindanoob
9631443    X  RyanDraves
9630447  O    ericzhang98
9629941  O    dhallstr
9629214  O    succcubbus
9628747  O    klyd3r
9628583  O    kindanoob
9628054    X  ipost
9627644  O    klyd3r
9627622  O    dhallstr
9627055  O    RyanDraves
9626897  O    dhallstr
9626713  O    klyd3r
